Time,Lat,Lon,scPDSI
1047,46.75,15.5,2.159
1047,45.25,16,-0.427
1047,45.75,16,-5.274
1047,46.25,16,-2.537
1047,46.75,16,-1.366
1047,45.25,16.5,-2.454
1047,45.75,16.5,-3.303
1047,46.25,16.5,-1.506
1047,46.75,16.5,-0.624
1048,45.25,15.5,1.685
1048,45.75,15.5,0.171
1048,46.25,15.5,-1.135
1048,46.75,15.5,2.971
1048,45.25,16,1.471
1048,45.75,16,-4.454
1048,46.25,16,-0.839
1048,46.75,16,0.2
1048,45.25,16.5,-0.161
1048,45.75,16.5,0.677
1048,46.25,16.5,-0.419
1048,46.75,16.5,0.533
1049,45.25,15.5,-3.109
1049,45.75,15.5,-3.292
1049,46.25,15.5,-4.128
1049,46.75,15.5,4.175
1049,45.25,16,-4.434
1049,45.75,16,-4.37
1049,46.25,16,-1.833
1049,46.75,16,-1.556
1049,45.25,16.5,-2.778
1049,45.75,16.5,-4.948
1049,46.25,16.5,-2.944
1049,46.75,16.5,-0.932
1050,45.25,15.5,-2.092
1050,45.75,15.5,-1.946
1050,46.25,15.5,-2.28
1050,46.75,15.5,-1.028
1050,45.25,16,-1.87
1050,45.75,16,0.549
1050,46.25,16,-1.195
1050,46.75,16,-1.089
1050,45.25,16.5,-1.403
1050,45.75,16.5,-1.781
1050,46.25,16.5,0.196
1050,46.75,16.5,-1.746
1051,45.25,15.5,-0.634
1051,45.75,15.5,-0.597
1051,46.25,15.5,-0.627
1051,46.75,15.5,0.536
1051,45.25,16,-1.549
1051,45.75,16,0.04
1051,46.25,16,-0.361
1051,46.75,16,0.117
1051,45.25,16.5,-0.791
1051,45.75,16.5,-1.696
1051,46.25,16.5,-0.647
1051,46.75,16.5,0.445
1052,45.25,15.5,-3.086
1052,45.75,15.5,-3.058
1052,46.25,15.5,-0.522
1052,46.75,15.5,-0.197
1052,45.25,16,-3.067
1052,45.75,16,-0.096
1052,46.25,16,-1.072
1052,46.75,16,-1.536
1052,45.25,16.5,-2.449
1052,45.75,16.5,-3.303
1052,46.25,16.5,-1.41
1052,46.75,16.5,-0.68
1053,45.25,15.5,1.876
1053,45.75,15.5,1.729
1053,46.25,15.5,2.025
1053,46.75,15.5,-1.272
1053,45.25,16,1.782
1053,45.75,16,-0.719
1053,46.25,16,0.079
1053,46.75,16,0.044
1053,45.25,16.5,1.222
1053,45.75,16.5,1.68
1053,46.25,16.5,0.329
1053,46.75,16.5,0.301
1054,45.25,15.5,1.51
1054,45.75,15.5,0.874
1054,46.25,15.5,0.655
1054,46.75,15.5,-1.19
1054,45.25,16,0.753
1054,45.75,16,-2.206
1054,46.25,16,-0.681
1054,46.75,16,-0.942
1054,45.25,16.5,2.935
1054,45.75,16.5,0.644
1054,46.25,16.5,-0.631
1054,46.75,16.5,0.191
1055,45.25,15.5,0.285
1055,45.75,15.5,0.051
1055,46.25,15.5,0.008
1055,46.75,15.5,-3.433
1055,45.25,16,-0.507
1055,45.75,16,0.336
1055,46.25,16,-1.595
1055,46.75,16,-1.762
1055,45.25,16.5,1.202
1055,45.75,16.5,0.227
1055,46.25,16.5,-2.848
1055,46.75,16.5,-2.017
1056,45.25,15.5,-3.068
1056,45.75,15.5,-3.278
1056,46.25,15.5,-1.36
1056,46.75,15.5,-1.347
1056,45.25,16,-4.249
1056,45.75,16,-4.104
1056,46.25,16,-0.443
1056,46.75,16,-1.639
1056,45.25,16.5,-1.225
1056,45.75,16.5,-3.299
1056,46.25,16.5,-2.594
1056,46.75,16.5,-1.041
1057,45.25,15.5,-0.006
1057,45.75,15.5,0.988
1057,46.25,15.5,0.248
1057,46.75,15.5,-1.346
1057,45.25,16,1.028
1057,45.75,16,-0.347
1057,46.25,16,-1.642
1057,46.75,16,-1.358
1057,45.25,16.5,2.005
1057,45.75,16.5,0.168
1057,46.25,16.5,-0.434
1057,46.75,16.5,-1.834
1058,45.25,15.5,0.792
1058,45.75,15.5,1.598
1058,46.25,15.5,1.058
1058,46.75,15.5,0.313
1058,45.25,16,0.579
1058,45.75,16,0.005
1058,46.25,16,-0.543
1058,46.75,16,0.331
1058,45.25,16.5,1.482
1058,45.75,16.5,-0.028
1058,46.25,16.5,0.294
1058,46.75,16.5,-0.39
1059,45.25,15.5,-1.423
1059,45.75,15.5,-0.342
1059,46.25,15.5,-1.107
1059,46.75,15.5,0.214
1059,45.25,16,-3.088
1059,45.75,16,-0.076
1059,46.25,16,-0.833
1059,46.75,16,-0.581
1059,45.25,16.5,-1.955
1059,45.75,16.5,-3.321
1059,46.25,16.5,-1.449
1059,46.75,16.5,0.015
1060,45.25,15.5,-2.162
1060,45.75,15.5,-2.27
1060,46.25,15.5,-1.712
1060,46.75,15.5,-1.951
1060,45.25,16,-2.088
1060,45.75,16,-1.919
1060,46.25,16,-1.173
1060,46.75,16,-2.266
1060,45.25,16.5,-3.411
1060,45.75,16.5,-2.609
1060,46.25,16.5,-2.676
1060,46.75,16.5,-1.876
1061,45.25,15.5,-1.1
1061,45.75,15.5,0.445
1061,46.25,15.5,0.067
1061,46.75,15.5,0.258
1061,45.25,16,-0.612
1061,45.75,16,0.598
1061,46.25,16,-0.908
1061,46.75,16,-0.447
1061,45.25,16.5,-0.823
1061,45.75,16.5,-0.751
1061,46.25,16.5,-0.578
1061,46.75,16.5,-1.4
1062,45.25,15.5,-0.373
1062,45.75,15.5,0.309
1062,46.25,15.5,-0.235
1062,46.75,15.5,0.513
1062,45.25,16,-0.446
1062,45.75,16,0.348
